entity_key,canonical_name,entity_type,subtype,description
person_zhao_yiniang,趙姨娘,PERSON,concubine,賈政妾，賈環、探春之母。
person_zhou_rui_jia,周瑞家的,PERSON,servant,王夫人陪房。
person_lai_da,賴大,PERSON,servant,賈府管家。
myth_nvwa,女媧,RELIGION_MYTH,deity,補天神話人物。
myth_jinghuan_xianzi,警幻仙子,RELIGION_MYTH,deity,太虛幻境主者。
myth_mangmang_dashi,茫茫大士,RELIGION_MYTH,monk,開篇神話人物。
myth_miaomiao_zhenren,渺渺真人,RELIGION_MYTH,daoist,開篇神話人物。
place_jinling,金陵,PLACE,city,重要地名。
place_yangzhou,揚州,PLACE,city,林如海任所。
place_gusu,姑蘇,PLACE,city,甄士隱居處。
place_changmen,閶門,PLACE,gate_area,姑蘇地名。
place_daguanyuan,大觀園,PLACE,garden,賈府園林空間。
building_rongguofu,榮國府,BUILDING,mansion,賈府之一。
building_ningguofu,寧國府,BUILDING,mansion,賈府之一。
building_yihongyuan,怡紅院,BUILDING,residence,賈寶玉居所。
building_xiaoxiangguan,瀟湘館,BUILDING,residence,林黛玉居所。
building_hengwuyuan,蘅蕪苑,BUILDING,residence,薛寶釵居所。
building_qiushuangzhai,秋爽齋,BUILDING,residence,賈探春相關空間。
building_daoxiangcun,稻香村,BUILDING,residence,李紈居所。
building_nuanxiangwu,暖香塢,BUILDING,garden_space,大觀園空間。
building_longcui_an,櫳翠庵,BUILDING,temple,妙玉所在。
building_tiexian_si,鐵檻寺,BUILDING,temple,寺廟空間。
building_hulu_miao,葫蘆廟,BUILDING,temple,甄士隱鄰近古廟。
space_shufang,書房,ROOM_SPACE,room,室內空間。
space_neishi,內室,ROOM_SPACE,room,室內空間。
space_yuanzi,園子,ROOM_SPACE,garden_space,泛稱園林空間。
space_langxia,廊下,ROOM_SPACE,corridor,建築空間。
object_tongling_baoyu,通靈寶玉,OBJECT,symbolic_object,賈寶玉所銜之玉。
object_fengyue_baojian,風月寶鑑,OBJECT,symbolic_object,具有象徵意義之物。
object_baoyu,寶玉,OBJECT,jade,玉石物件；需與人物賈寶玉消歧。
object_shanzi,扇子,OBJECT,daily_object,日用物件。
object_chai,釵,OBJECT,ornament,女性飾物。
object_yu,玉,OBJECT,jade,重要物象。
plant_haitang,海棠,FLOWER,flower,重要花木意象。
plant_juhua,菊花,FLOWER,flower,詩社與花木意象。
plant_furong,芙蓉,FLOWER,flower,花木意象。
plant_taohua,桃花,FLOWER,flower,花木意象。
plant_meihua,梅花,FLOWER,flower,花木意象。
plant_mudan,牡丹,FLOWER,flower,花木意象。
plant_lian,蓮,FLOWER,flower,花木意象。
plant_zhu,竹,PLANT,plant,植物意象。
plant_liu,柳,PLANT,plant,植物意象。
plant_jiaoqiangwei,薔薇,FLOWER,flower,花木意象。
