motif_id,document_id,chapter_id,chapter_number,paragraph_id,paragraph_number,sentence_id,sentence_number,surface_text,motif_key,motif_type,subtype,char_start,char_end,start_token_id,end_token_id,start_token_number,end_token_number,priority,source,notes
hongloumeng_mo0000017,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000032,25,石,motif_stone,物象,石,17,18,hongloumeng_t0000512,hongloumeng_t0000512,13,13,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000018,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000032,25,玉,motif_jade,物象,玉石,30,31,hongloumeng_t0000520,hongloumeng_t0000520,21,21,80,motif_rule,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
hongloumeng_mo0000019,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000036,29,詩,motif_poetry,文藝,詩,14,15,hongloumeng_t0000583,hongloumeng_t0000583,12,12,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000020,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000036,29,花,motif_flower,花木,泛花,21,22,hongloumeng_t0000588,hongloumeng_t0000588,17,17,65,motif_rule,泛稱花，需注意高頻與歧義。
hongloumeng_mo0000021,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000036,29,柳,motif_willow,花木,柳,22,23,hongloumeng_t0000588,hongloumeng_t0000588,17,17,75,motif_rule,春景、女性、離別意象。
hongloumeng_mo0000022,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000037,30,石,motif_stone,物象,石,0,1,hongloumeng_t0000599,hongloumeng_t0000599,1,1,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000023,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000042,35,白,motif_white,顏色,白色,11,12,hongloumeng_t0000652,hongloumeng_t0000652,9,9,75,motif_rule,潔淨、喪亡、雪色等語境。
hongloumeng_mo0000024,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00003,3,hongloumeng_s000043,36,石,motif_stone,物象,石,7,8,hongloumeng_t0000663,hongloumeng_t0000663,8,8,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000025,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00004,4,hongloumeng_s000044,1,青,motif_green_blue,顏色,青色,32,33,hongloumeng_t0000705,hongloumeng_t0000705,27,27,70,motif_rule,服色、植物、空間色彩。
hongloumeng_mo0000026,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00004,4,hongloumeng_s000044,1,石,motif_stone,物象,石,44,45,hongloumeng_t0000715,hongloumeng_t0000715,37,37,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000027,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00004,4,hongloumeng_s000045,2,紅,motif_red,顏色,紅色,36,37,hongloumeng_t0000745,hongloumeng_t0000745,23,23,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000028,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00005,5,hongloumeng_s000047,1,紅,motif_red,顏色,紅色,10,11,hongloumeng_t0000772,hongloumeng_t0000772,8,8,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000029,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00006,6,hongloumeng_s000049,1,詩,motif_poetry,文藝,詩,0,1,hongloumeng_t0000788,hongloumeng_t0000788,1,1,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000030,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00006,6,hongloumeng_s000049,1,石,motif_stone,物象,石,5,6,hongloumeng_t0000792,hongloumeng_t0000792,5,5,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000031,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00006,6,hongloumeng_s000050,2,詩,motif_poetry,文藝,詩,13,14,hongloumeng_t0000816,hongloumeng_t0000816,8,8,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000032,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000052,1,石,motif_stone,物象,石,6,7,hongloumeng_t0000837,hongloumeng_t0000837,5,5,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000033,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000053,2,石,motif_stone,物象,石,1,2,hongloumeng_t0000841,hongloumeng_t0000841,2,2,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000034,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000056,5,風,motif_wind,自然,風,15,16,hongloumeng_t0000889,hongloumeng_t0000889,11,11,70,motif_rule,
hongloumeng_mo0000035,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000058,7,石,motif_stone,物象,石,0,1,hongloumeng_t0000932,hongloumeng_t0000932,1,1,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000036,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000063,12,書,motif_book,文藝,書,12,13,hongloumeng_t0001013,hongloumeng_t0001013,9,9,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000037,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000065,14,風,motif_wind,自然,風,4,5,hongloumeng_t0001048,hongloumeng_t0001048,5,5,70,motif_rule,
hongloumeng_mo0000038,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000065,14,月,motif_moon,自然,月,5,6,hongloumeng_t0001048,hongloumeng_t0001048,5,5,85,motif_rule,夜、情感、詩性場景。
hongloumeng_mo0000039,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000066,15,書,motif_book,文藝,書,7,8,hongloumeng_t0001068,hongloumeng_t0001068,6,6,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000040,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000067,16,詩,motif_poetry,文藝,詩,14,15,hongloumeng_t0001108,hongloumeng_t0001108,10,10,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000041,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000069,18,書,motif_book,文藝,書,46,47,hongloumeng_t0001186,hongloumeng_t0001186,36,36,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000042,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000070,19,詩,motif_poetry,文藝,詩,5,6,hongloumeng_t0001206,hongloumeng_t0001206,6,6,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000043,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000070,19,酒,motif_wine,飲食,酒,14,15,hongloumeng_t0001214,hongloumeng_t0001214,14,14,70,motif_rule,宴飲與情境。
hongloumeng_mo0000044,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000073,22,書,motif_book,文藝,書,32,33,hongloumeng_t0001290,hongloumeng_t0001290,25,25,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000045,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000076,25,紅,motif_red,顏色,紅色,39,40,hongloumeng_t0001388,hongloumeng_t0001388,28,28,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000046,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00007,7,hongloumeng_s000076,25,玉,motif_jade,物象,玉石,43,44,hongloumeng_t0001390,hongloumeng_t0001390,30,30,80,motif_rule,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
hongloumeng_mo0000047,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000078,1,石,motif_stone,物象,石,18,19,hongloumeng_t0001415,hongloumeng_t0001415,14,14,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000048,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000079,2,書,motif_book,文藝,書,35,36,hongloumeng_t0001469,hongloumeng_t0001469,29,29,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000049,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000082,5,石,motif_stone,物象,石,33,34,hongloumeng_t0001540,hongloumeng_t0001540,26,26,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000050,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000083,6,玉,motif_jade,物象,玉石,2,3,hongloumeng_t0001547,hongloumeng_t0001547,1,1,80,motif_rule,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
hongloumeng_mo0000051,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000083,6,紅,motif_red,顏色,紅色,7,8,hongloumeng_t0001551,hongloumeng_t0001551,5,5,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000052,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000083,6,夢,motif_dream,夢幻,夢,9,10,hongloumeng_t0001551,hongloumeng_t0001551,5,5,90,motif_rule,真幻、預示、太虛幻境相關。
hongloumeng_mo0000053,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000084,7,風,motif_wind,自然,風,9,10,hongloumeng_t0001560,hongloumeng_t0001560,7,7,70,motif_rule,
hongloumeng_mo0000054,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000084,7,月,motif_moon,自然,月,10,11,hongloumeng_t0001560,hongloumeng_t0001560,7,7,85,motif_rule,夜、情感、詩性場景。
hongloumeng_mo0000055,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000085,8,雪,motif_snow,自然,雪,3,4,hongloumeng_t0001565,hongloumeng_t0001565,3,3,85,motif_rule,潔白、寒冷、詩社場景。
hongloumeng_mo0000056,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000085,8,紅,motif_red,顏色,紅色,7,8,hongloumeng_t0001568,hongloumeng_t0001568,6,6,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000057,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00008,8,hongloumeng_s000085,8,金,motif_gold,物象,金,35,36,hongloumeng_t0001589,hongloumeng_t0001589,27,27,60,motif_rule,金玉、財富、命名歧義。
hongloumeng_mo0000058,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00009,9,hongloumeng_s000086,1,淚,motif_tears,情感身體,眼淚,10,11,hongloumeng_t0001607,hongloumeng_t0001607,9,9,90,motif_rule,還淚神話與情感表現。
hongloumeng_mo0000059,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00010,10,hongloumeng_s000088,1,石,motif_stone,物象,石,14,15,hongloumeng_t0001629,hongloumeng_t0001629,11,11,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000060,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00011,11,hongloumeng_s000089,1,石,motif_stone,物象,石,7,8,hongloumeng_t0001639,hongloumeng_t0001639,8,8,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000061,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00011,11,hongloumeng_s000090,2,石,motif_stone,物象,石,2,3,hongloumeng_t0001647,hongloumeng_t0001647,3,3,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000062,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00011,11,hongloumeng_s000090,2,書,motif_book,文藝,書,4,5,hongloumeng_t0001649,hongloumeng_t0001649,5,5,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000063,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000091,1,紅,motif_red,顏色,紅色,27,28,hongloumeng_t0001672,hongloumeng_t0001672,22,22,80,motif_rule,紅樓、女兒、繁華、情感色彩。
hongloumeng_mo0000064,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000091,1,風,motif_wind,自然,風,35,36,hongloumeng_t0001677,hongloumeng_t0001677,27,27,70,motif_rule,
hongloumeng_mo0000065,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000096,6,花,motif_flower,花木,泛花,23,24,hongloumeng_t0001767,hongloumeng_t0001767,17,17,65,motif_rule,泛稱花，需注意高頻與歧義。
hongloumeng_mo0000066,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000096,6,竹,motif_bamboo,花木,竹,25,26,hongloumeng_t0001768,hongloumeng_t0001768,18,18,75,motif_rule,瀟湘館與清雅意象。
hongloumeng_mo0000067,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000096,6,酒,motif_wine,飲食,酒,28,29,hongloumeng_t0001771,hongloumeng_t0001771,21,21,70,motif_rule,宴飲與情境。
hongloumeng_mo0000068,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000096,6,詩,motif_poetry,文藝,詩,30,31,hongloumeng_t0001773,hongloumeng_t0001773,23,23,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000069,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00012,12,hongloumeng_s000098,8,蓮,motif_lotus,花木,蓮,20,21,hongloumeng_t0001802,hongloumeng_t0001802,16,16,75,motif_rule,單字可能與人名重疊。
hongloumeng_mo0000070,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000099,1,書,motif_book,文藝,書,11,12,hongloumeng_t0001817,hongloumeng_t0001817,10,10,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000071,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000099,1,書,motif_book,文藝,書,20,21,hongloumeng_t0001824,hongloumeng_t0001824,17,17,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000072,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000100,2,夢,motif_dream,夢幻,夢,0,1,hongloumeng_t0001835,hongloumeng_t0001835,1,1,90,motif_rule,真幻、預示、太虛幻境相關。
hongloumeng_mo0000073,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000105,7,風,motif_wind,自然,風,11,12,hongloumeng_t0001889,hongloumeng_t0001889,9,9,70,motif_rule,
hongloumeng_mo0000074,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000106,8,風,motif_wind,自然,風,3,4,hongloumeng_t0001897,hongloumeng_t0001897,3,3,70,motif_rule,
hongloumeng_mo0000075,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000109,11,風,motif_wind,自然,風,5,6,hongloumeng_t0001931,hongloumeng_t0001931,4,4,70,motif_rule,
hongloumeng_mo0000076,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000113,15,石,motif_stone,物象,石,10,11,hongloumeng_t0001970,hongloumeng_t0001970,7,7,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000077,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000113,15,月,motif_moon,自然,月,45,46,hongloumeng_t0001990,hongloumeng_t0001990,27,27,85,motif_rule,夜、情感、詩性場景。
hongloumeng_mo0000078,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000114,16,雨,motif_rain,自然,雨,11,12,hongloumeng_t0002000,hongloumeng_t0002000,9,9,70,motif_rule,
hongloumeng_mo0000079,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000114,16,青,motif_green_blue,顏色,青色,50,51,hongloumeng_t0002032,hongloumeng_t0002032,41,41,70,motif_rule,服色、植物、空間色彩。
hongloumeng_mo0000080,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000120,22,淚,motif_tears,情感身體,眼淚,24,25,hongloumeng_t0002151,hongloumeng_t0002151,20,20,90,motif_rule,還淚神話與情感表現。
hongloumeng_mo0000081,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000121,23,風,motif_wind,自然,風,10,11,hongloumeng_t0002171,hongloumeng_t0002171,8,8,70,motif_rule,
hongloumeng_mo0000082,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000124,26,淚,motif_tears,情感身體,眼淚,6,7,hongloumeng_t0002198,hongloumeng_t0002198,6,6,90,motif_rule,還淚神話與情感表現。
hongloumeng_mo0000083,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000125,27,風,motif_wind,自然,風,11,12,hongloumeng_t0002211,hongloumeng_t0002211,9,9,70,motif_rule,
hongloumeng_mo0000084,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000125,27,月,motif_moon,自然,月,12,13,hongloumeng_t0002211,hongloumeng_t0002211,9,9,85,motif_rule,夜、情感、詩性場景。
hongloumeng_mo0000085,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000127,29,風,motif_wind,自然,風,5,6,hongloumeng_t0002227,hongloumeng_t0002227,5,5,70,motif_rule,
hongloumeng_mo0000086,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000127,29,詩,motif_poetry,文藝,詩,19,20,hongloumeng_t0002236,hongloumeng_t0002236,14,14,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000087,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000129,31,風,motif_wind,自然,風,5,6,hongloumeng_t0002255,hongloumeng_t0002255,4,4,70,motif_rule,
hongloumeng_mo0000088,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000129,31,月,motif_moon,自然,月,6,7,hongloumeng_t0002255,hongloumeng_t0002255,4,4,85,motif_rule,夜、情感、詩性場景。
hongloumeng_mo0000089,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000129,31,香,motif_fragrance,感官,香氣,13,14,hongloumeng_t0002259,hongloumeng_t0002259,8,8,75,motif_rule,女性、空間、物件命名常見。
hongloumeng_mo0000090,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000129,31,玉,motif_jade,物象,玉石,15,16,hongloumeng_t0002260,hongloumeng_t0002260,9,9,80,motif_rule,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
hongloumeng_mo0000091,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00013,13,hongloumeng_s000135,37,風,motif_wind,自然,風,24,25,hongloumeng_t0002352,hongloumeng_t0002352,19,19,70,motif_rule,
hongloumeng_mo0000092,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00014,14,hongloumeng_s000139,1,白,motif_white,顏色,白色,9,10,hongloumeng_t0002394,hongloumeng_t0002394,6,6,75,motif_rule,潔淨、喪亡、雪色等語境。
hongloumeng_mo0000093,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00014,14,hongloumeng_s000145,7,白,motif_white,顏色,白色,11,12,hongloumeng_t0002453,hongloumeng_t0002453,8,8,75,motif_rule,潔淨、喪亡、雪色等語境。
hongloumeng_mo0000094,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00014,14,hongloumeng_s000154,16,玉,motif_jade,物象,玉石,14,15,hongloumeng_t0002577,hongloumeng_t0002577,11,11,80,motif_rule,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
hongloumeng_mo0000095,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00014,14,hongloumeng_s000154,16,通靈寶玉,motif_jade,物象,玉石,26,30,hongloumeng_t0002586,hongloumeng_t0002587,20,21,100,motif_rule,核心象徵物。
hongloumeng_mo0000096,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00014,14,hongloumeng_s000157,19,石,motif_stone,物象,石,16,17,hongloumeng_t0002631,hongloumeng_t0002631,16,16,70,motif_rule,石頭記、頑石神話。
hongloumeng_mo0000097,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00014,14,hongloumeng_s000157,19,書,motif_book,文藝,書,21,22,hongloumeng_t0002634,hongloumeng_t0002634,19,19,55,motif_rule,高歧義，保守使用。
hongloumeng_mo0000098,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00016,16,hongloumeng_s000161,2,夢,motif_dream,夢幻,夢,25,26,hongloumeng_t0002708,hongloumeng_t0002708,19,19,90,motif_rule,真幻、預示、太虛幻境相關。
hongloumeng_mo0000099,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00016,16,hongloumeng_s000162,3,蓮,motif_lotus,花木,蓮,8,9,hongloumeng_t0002723,hongloumeng_t0002723,7,7,75,motif_rule,單字可能與人名重疊。
hongloumeng_mo0000100,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00016,16,hongloumeng_s000163,4,玉,motif_jade,物象,玉石,11,12,hongloumeng_t0002732,hongloumeng_t0002732,7,7,80,motif_rule,通靈寶玉、賈寶玉、玉石物件需依上下文判斷。
hongloumeng_mo0000101,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00016,16,hongloumeng_s000167,8,蓮,motif_lotus,花木,蓮,15,16,hongloumeng_t0002809,hongloumeng_t0002809,12,12,75,motif_rule,單字可能與人名重疊。
hongloumeng_mo0000102,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00016,16,hongloumeng_s000167,8,哭,motif_tears,情感身體,哭泣,21,22,hongloumeng_t0002814,hongloumeng_t0002814,17,17,70,motif_rule,情緒與身體反應。
hongloumeng_mo0000103,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00017,17,hongloumeng_s000173,1,花,motif_flower,花木,泛花,9,10,hongloumeng_t0002909,hongloumeng_t0002909,8,8,65,motif_rule,泛稱花，需注意高頻與歧義。
hongloumeng_mo0000104,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00017,17,hongloumeng_s000173,1,雪,motif_snow,自然,雪,12,13,hongloumeng_t0002911,hongloumeng_t0002911,10,10,85,motif_rule,潔白、寒冷、詩社場景。
hongloumeng_mo0000105,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00018,18,hongloumeng_s000175,1,白,motif_white,顏色,白色,5,6,hongloumeng_t0002929,hongloumeng_t0002929,4,4,75,motif_rule,潔淨、喪亡、雪色等語境。
hongloumeng_mo0000106,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00019,19,hongloumeng_s000184,1,雨,motif_rain,自然,雨,36,37,hongloumeng_t0003057,hongloumeng_t0003057,28,28,70,motif_rule,
hongloumeng_mo0000107,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00019,19,hongloumeng_s000185,2,雨,motif_rain,自然,雨,2,3,hongloumeng_t0003064,hongloumeng_t0003064,2,2,70,motif_rule,
hongloumeng_mo0000108,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00019,19,hongloumeng_s000185,2,詩,motif_poetry,文藝,詩,13,14,hongloumeng_t0003072,hongloumeng_t0003072,10,10,80,motif_rule,詩社、才情、題詠。
hongloumeng_mo0000109,hongloumeng,hongloumeng_ch001,1,hongloumeng_p00019,19,hongloumeng_s000185,2,書,motif_book,文藝,書,14,15,hongloumeng_t0003072,hongloumeng_t0003072,10,10,55,motif_rule,高歧義，保守使用。
